,N_People
1856,7
1857,8
1858,9
1859,8
1860,0
1861,11
1862,8
1863,4
1864,6
1865,3
1866,11
1867,5
1868,8
1869,0
1870,8
1871,0
1872,11
1873,11
1874,5
1875,2
1876,2
1877,8
1878,5
1879,11
1880,7
1881,8
1882,6
1883,5
1884,7
1885,0
1886,11
1887,7
1888,11
1889,6
1890,9
1891,5
1892,1
1893,0
1894,0
1895,11
1896,7
1897,8
1898,0
1899,0
1900,7
1901,7
1902,8
1903,9
1904,7
1905,8
1906,10
1907,6
1908,7
1909,0
1910,8
1911,2
1912,3
1913,0
1914,0
1915,6
1916,6
1917,0
1918,6
1919,4
1920,6
1921,8
1922,7
1923,7
1924,0
1925,6
1926,5
1927,7
1928,7
1929,1
1930,0
1931,7
1932,7
1933,4
1934,5
1935,5
1936,10
1937,3
1938,0
1939,7
1940,5
1941,2
1942,0
1943,7
1944,1
1945,6
1946,1
1947,5
1948,11
1949,7
1950,0
1951,11
1952,8
1953,7
1954,8
1955,7
1956,8
1957,8
1958,4
1959,6
1960,0
1961,8
1962,11
1963,7
1964,8
1965,11
1966,7
1967,9
1968,7
1969,0
1970,3
1971,9
1972,2
1973,5
1974,9
1975,0
1976,9
1977,7
1978,6
1979,8
1980,0
1981,10
1982,5
1983,8
1984,2
1985,2
1986,0
1987,6
1988,8
1989,7
1990,7
1991,11
1992,2
1993,0
1994,0
1995,10
1996,7
1997,1
1998,8
1999,9
2000,11
2001,1
2002,5
2003,2
2004,11
2005,7
2006,11
2007,7
2008,8
2009,0
2010,8
2011,0
2012,11
2013,8
2014,0
2015,7
2016,8
2017,8
2018,6
2019,6
2020,0
2021,8
2022,10
2023,2
2024,0
2025,11
2026,5
2027,6
2028,2
2029,6
2030,7
2031,8
2032,7
2033,9
2034,6
2035,7
2036,10
2037,11
2038,11
2039,11
2040,5
2041,0
2042,5
2043,11
2044,11
2045,6
2046,0
2047,0
2048,7
2049,0
2050,0
2051,0
2052,8
2053,2
2054,7
2055,0
2056,0
2057,2
2058,7
2059,8
2060,5
2061,7
2062,8
2063,5
2064,0
2065,5
2066,1
2067,8
2068,8
2069,6
2070,6
2071,11
2072,11
2073,8
2074,0
2075,0
2076,2
2077,7
2078,7
2079,5
2080,11
2081,0
2082,7
2083,6
2084,7
2085,6
2086,0
2087,0
2088,0
2089,6
2090,8
2091,8
2092,7
2093,11
2094,8
2095,8
2096,7
2097,11
2098,9
2099,6
2100,8
2101,6
2102,7
2103,11
2104,2
2105,6
2106,2
2107,8
2108,2
2109,6
2110,9
2111,11
2112,7
2113,5
2114,0
2115,0
2116,0
2117,7
2118,0
2119,7
2120,0
2121,5
2122,0
2123,0
2124,11
2125,8
2126,11
2127,0
2128,6
2129,8
2130,0
2131,0
2132,0
2133,6
2134,0
2135,7
2136,4
2137,6
2138,8
2139,5
2140,6
2141,2
2142,7
2143,11
2144,0
2145,7
2146,7
2147,2
2148,0
2149,1
2150,0
2151,11
2152,2
2153,7
2154,7
2155,11
2156,2
2157,11
2158,11
2159,7
2160,6
2161,3
2162,2
2163,6
2164,4
2165,7
2166,6
2167,7
2168,0
2169,8
2170,8
2171,0
2172,7
2173,6
2174,8
2175,8
2176,11
2177,1
2178,7
2179,7
2180,0
2181,8
2182,7
2183,2
2184,8
2185,7
2186,0
2187,6
2188,5
2189,0
2190,0
2191,5
2192,8
2193,0
2194,0
2195,6
2196,3
2197,0
2198,11
2199,8
2200,1
2201,0
2202,8
2203,8
2204,0
2205,8
2206,8
2207,2
2208,8
2209,0
2210,0
2211,11
2212,7
2213,0
2214,7
2215,0
2216,7
2217,8
2218,7
2219,8
2220,7
2221,8
2222,2
2223,8
2224,6
2225,7
2226,2
2227,8
2228,2
2229,11
2230,5
2231,7
2232,0
2233,8
2234,6
2235,8
2236,5
2237,7
2238,7
2239,11
2240,9
2241,6
2242,8
2243,11
2244,8
2245,9
2246,5
2247,10
2248,6
2249,0
2250,8
2251,11
2252,5
2253,0
2254,6
2255,8
2256,2
2257,11
2258,0
2259,6
2260,11
2261,5
2262,0
2263,6
2264,3
2265,5
2266,0
2267,8
2268,7
2269,0
2270,8
2271,0
2272,0
2273,10
2274,0
2275,7
2276,9
2277,0
2278,7
2279,7
2280,7
2281,0
2282,5
2283,3
2284,5
2285,0
2286,9
2287,11
2288,0
2289,7
2290,0
2291,5
2292,5
2293,7
2294,6
2295,8
2296,9
2297,7
2298,0
2299,6
2300,6
2301,7
2302,8
2303,5
2304,11
2305,6
2306,0
2307,9
2308,5
2309,9
2310,11
2311,5
2312,0
2313,7
2314,7
2315,0
2316,0
2317,0
2318,2
2319,8
2320,2
2321,0
2322,7
2323,6
2324,6
2325,6
2326,8
2327,6
2328,5
2329,5
2330,11
2331,0
2332,11
2333,7
2334,11
2335,6
2336,6
2337,4
2338,7
2339,8
2340,11
2341,2
2342,4
2343,8
2344,0
2345,7
2346,6
2347,9
2348,2
2349,0
2350,11
2351,10
2352,11
2353,7
2354,7
2355,5
2356,2
2357,8
2358,0
2359,3
2360,0
2361,7
2362,8
2363,5
2364,10
2365,2
2366,11
2367,8
2368,5
2369,0
2370,6
2371,8
2372,0
2373,11
2374,0
2375,8
2376,0
2377,5
2378,8
2379,6
2380,0
2381,7
2382,7
2383,7
2384,7
2385,8
2386,0
2387,0
2388,11
2389,0
2390,11
2391,8
2392,4
2393,8
2394,7
2395,11
2396,5
2397,0
2398,8
2399,11
2400,11
2401,8
2402,6
2403,6
2404,7
2405,0
2406,11
2407,5
2408,0
2409,0
2410,6
2411,5
2412,0
2413,7
2414,3
2415,7
2416,11
2417,7
2418,0
2419,7
2420,6
2421,8
2422,10
2423,7
2424,0
2425,11
2426,6
2427,8
2428,0
2429,0
2430,9
2431,7
2432,8
2433,6
2434,6
2435,9
2436,11
2437,5
2438,10
2439,0
2440,8
2441,8
2442,0
2443,3
2444,10
2445,5
2446,8
2447,1
2448,8
2449,0
2450,6
2451,4
2452,11
2453,8
2454,5
2455,7
2456,6
2457,0
2458,10
2459,2
2460,8
2461,0
2462,9
2463,7
2464,0
2465,0
2466,11
2467,0
2468,5
2469,7
2470,7
2471,2
2472,7
2473,3
2474,7
2475,6
2476,0
2477,9
2478,8
2479,7
2480,8
2481,8
2482,11
2483,11
2484,8
2485,8
2486,6
2487,8
2488,7
2489,0
2490,5
2491,11
2492,0
2493,9
2494,5
2495,5
2496,2
2497,9
2498,7
2499,7
2500,5
2501,9
2502,0
2503,6
2504,6
2505,8
2506,8
2507,0
2508,6
2509,5
2510,0
2511,11
2512,7
2513,8
2514,0
2515,1
2516,5
2517,8
2518,2
2519,5
2520,0
2521,11
2522,8
2523,7
2524,10
2525,3
2526,5
2527,9
2528,0
2529,9
2530,5
2531,7
2532,5
2533,3
2534,5
2535,9
2536,0
2537,6
2538,8
2539,7
2540,11
2541,4
2542,8
2543,7
2544,5
2545,8
2546,1
2547,5
2548,11
2549,5
2550,11
2551,5
2552,5
2553,5
2554,7
2555,8
2556,8
2557,5
2558,9
2559,6
2560,7
2561,1
2562,7
2563,0
2564,7
2565,7
2566,8
2567,8
2568,4
2569,5
2570,9
2571,3
2572,3
2573,8
2574,11
2575,0
2576,4
2577,7
2578,0
2579,8
2580,11
2581,5
2582,6
